S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-12-19,1,30.00,13950.00,465.00,465.00,465.00
2,2019-12-18,36,1610.00,758680.00,486.00,467.00,474.00
3,2019-12-17,78,4071.00,1920300.00,480.00,440.00,479.00
4,2019-12-16,35,3850.00,1755020.00,465.00,440.00,448.00
5,2019-12-15,62,1230.00,563160.00,467.00,451.00,467.00
6,2019-12-12,79,3090.00,1489430.00,497.00,472.00,473.00
7,2019-12-11,121,7560.00,3665800.00,497.00,461.00,488.00
8,2019-12-10,76,3988.00,1870656.00,496.00,460.00,470.00
9,2019-12-09,100,6245.00,2905900.00,487.00,450.00,487.00
10,2019-12-08,28,1420.00,628230.00,448.00,434.00,448.00
11,2019-12-05,40,1682.00,746505.00,453.00,435.00,448.00
12,2019-12-04,52,3590.00,1578630.00,459.00,429.00,449.00
13,2019-12-03,45,1140.00,492380.00,437.00,425.00,429.00
14,2019-12-02,39,1030.00,442230.00,434.00,425.00,431.00
15,2019-12-01,44,660.00,281930.00,430.00,421.00,430.00
16,2019-11-28,30,730.00,311450.00,429.00,423.00,425.00
17,2019-11-27,34,360.00,153120.00,430.00,423.00,430.00
18,2019-11-26,59,642.00,271966.00,432.00,418.00,432.00
19,2019-11-25,31,350.00,146860.00,433.00,416.00,424.00
20,2019-11-24,48,930.00,393150.00,429.00,421.00,425.00
21,2019-11-21,75,1220.00,517480.00,430.00,422.00,429.00
22,2019-11-20,48,890.00,385770.00,439.00,431.00,435.00
23,2019-11-19,42,860.00,370000.00,434.00,425.00,433.00
24,2019-11-18,28,360.00,156480.00,448.00,425.00,435.00
25,2019-11-17,54,910.00,394130.00,448.00,424.00,432.00
26,2019-11-14,74,1899.00,834724.00,445.00,436.00,440.00
27,2019-11-13,97,3337.00,1472733.00,450.00,418.00,444.00
28,2019-11-12,49,742.00,311580.00,438.00,407.00,420.00
29,2019-11-11,54,1160.00,492280.00,438.00,407.00,433.00
30,2019-11-10,107,2010.00,817052.00,413.00,403.00,413.00
31,2019-11-07,27,310.00,127120.00,418.00,406.00,418.00
32,2019-11-06,71,2197.00,900509.00,418.00,407.00,418.00
33,2019-11-05,50,558.00,229706.00,419.00,407.00,419.00
34,2019-11-04,36,360.00,147140.00,415.00,408.00,408.00
35,2019-11-03,47,590.00,242130.00,420.00,408.00,411.00
36,2019-10-31,29,350.00,142540.00,413.00,405.00,407.00
37,2019-10-24,40,920.00,375085.00,414.00,406.00,408.00
38,2019-10-23,32,450.00,182260.00,411.00,397.00,411.00
39,2019-10-22,36,440.00,179890.00,412.00,408.00,408.00
40,2019-10-21,36,440.00,181150.00,419.00,408.00,415.00
41,2019-10-20,25,250.00,102590.00,414.00,405.00,414.00
42,2019-10-17,37,370.00,152740.00,416.00,406.00,416.00
43,2019-10-16,35,860.00,349750.00,416.00,405.00,414.00
44,2019-10-15,16,160.00,65220.00,410.00,402.00,408.00
45,2019-10-14,42,420.00,171200.00,410.00,405.00,407.00
46,2019-10-10,5,50.00,20570.00,415.00,410.00,410.00
47,2019-10-03,11,430.00,178090.00,416.00,408.00,415.00
48,2019-10-02,18,190.00,78460.00,416.00,409.00,413.00
49,2019-10-01,26,490.00,204080.00,423.00,409.00,415.00
50,2019-09-30,24,570.00,234560.00,425.00,401.00,411.00
51,2019-09-29,48,490.00,200490.00,414.00,401.00,408.00
52,2019-09-26,94,1040.00,426090.00,414.00,407.00,407.00
53,2019-09-25,91,1150.00,474150.00,417.00,408.00,412.00
54,2019-09-24,83,830.00,341940.00,415.00,410.00,412.00
55,2019-09-23,92,1080.00,446350.00,422.00,410.00,410.00
56,2019-09-22,172,1730.00,720510.00,428.00,410.00,414.00
57,2019-09-19,110,2192.00,933322.00,438.00,421.00,428.00
58,2019-09-18,78,1270.00,546330.00,442.00,423.00,430.00
59,2019-09-17,123,2675.00,1130565.00,435.00,411.00,427.00
60,2019-09-16,165,2020.00,835890.00,427.00,409.00,419.00
61,2019-09-15,167,2430.00,1028060.00,437.00,419.00,419.00
62,2019-09-12,205,4610.00,2030950.00,461.00,435.00,442.00
63,2019-09-11,240,3300.00,1503040.00,475.00,451.00,452.00
64,2019-09-10,762,8765.00,4060301.00,472.00,458.00,466.00
65,2019-09-10,762,8765.00,4060301.00,472.00,458.00,466.00
66,2019-09-09,1906,22021.00,10351198.00,488.00,455.00,467.00
67,2019-09-08,37,460.00,203440.00,444.00,412.00,444.00
68,2019-09-05,6,60.00,23490.00,404.00,375.00,404.00
69,2019-09-03,6,140.00,49780.00,368.00,348.00,368.00
70,2019-09-02,2,20.00,6780.00,342.00,336.00,342.00
71,2019-09-01,2,20.00,6540.00,330.00,324.00,330.00
72,2019-08-29,1,10.00,3180.00,318.00,318.00,318.00
73,2019-08-28,2,20.00,6180.00,312.00,306.00,312.00
74,2019-08-27,7,70.00,20400.00,300.00,278.00,300.00
75,2019-08-26,3,30.00,8040.00,273.00,263.00,273.00
